location,lat,long,study_id
"Balhannah, South Australia ",-34.99094,138.824844,1
"Hamilton, Victoria, Australia ",-37.743179,142.024353,5
"Rutherglen Research Station, Victoria ",-36.05814,146.46069,7
"Merredin, Western Australia",-31.48217,118.281929,8
"Merredin, Western Australia",-31.48217,118.281929,10
Armidale (NSW - high rainfall zone),-30.51296,151.669418,14
Port Augusta (SA - pastoral zone),-32.4908819,137.7639874,14
Darkan (WA - sheep-weat zone) ,-33.3362568,116.7401489,14
"Kingooyna  district  in  South  Australia
South Australia ",-30.826555,134.964067,23
