NAME_1,sheep
Australian Capital Territory,0
New South Wales,30.83118118
Northern Territory,0
Queensland,1.21878319
South Australia,11.02433418
Tasmania,37.19834467
Victoria,67.83005488
Western Australia,5.031847235
